"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6929","validate with incorrect email","unauthenticated","2025-10-31","passed","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","7420","validate with incorrect password","unauthenticated","2025-10-31","passed","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","1104","validate with blank password","unauthenticated","2025-10-31","passed","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","8076","visual Testing","authenticated","2025-10-31","passed","2025-10-31","Authenticated Tests","test-scripts.spec.ts","",""
"","0","validate with blank email","authenticated","2025-10-31","skipped","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","0","validate with incorrect password","authenticated","2025-10-31","skipped","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","7069","validate with incorrect email and password","unauthenticated","2025-10-31","passed","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","1","validate with blank email and password","authenticated","2025-10-31","skipped","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","2552","validate with blank email and password","unauthenticated","2025-10-31","passed","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","13496","Place Order","authenticated","2025-10-31","passed","2025-10-31","Authenticated Tests","test-scripts.spec.ts","",""
"","0","validate with incorrect email and password","authenticated","2025-10-31","skipped","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","2","visual Testing","unauthenticated","2025-10-31","skipped","2025-10-31","Authenticated Tests","test-scripts.spec.ts","",""
"","1","validate with incorrect email","authenticated","2025-10-31","skipped","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","1707","validate with blank email","unauthenticated","2025-10-31","passed","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","0","validate with blank password","authenticated","2025-10-31","skipped","2025-10-31","Unauthenticated Tests","test-scripts.spec.ts","",""
"","1","Place Order","unauthenticated","2025-10-31","skipped","2025-10-31","Authenticated Tests","test-scripts.spec.ts","",""
